docid	exp_genres	date	author	title	origgenres	origsubjs	remove
mdp.39015059184625	psychological fiction|science fiction	2002.0	Kureishi, Hanif	The body : | a novel / | $c: Hanif Kureishi.	Psychological fiction|Science fiction	Body, Human|Brain|Immortalism|Transplantation|Older men	 
mdp.39015059179955	short stories	2004.0		Charlie Chan is dead 2 : | at home in the world : a new anthology of contemporary Asian American fiction / | $c: edited with an introduction by Jessica Hagedorn ; preface by Elaine H. Kim.	Bibliographies|Short stories	21st century|Asian Americans|American fiction|Asian American authors|20th century	 
uc1.$b248854	love stories	1930.0	Perelman, S. J. (Sidney Joseph)	Parlor, bedlam and bath / | $c: S.J. Perelman and Q.J. Reynolds.		Single-parent families|Motherless families|Man-woman relationships|Uncles|Brothers	 
uc1.$b252757	humor	1928.0	Pain, Barry	Humorous stories/ | $c: by Barry Pain; With an introd. by Alfred Noyes.		English wit and humor|Wit and humor	 
mdp.39015058209720	historical fiction	2004.0	Gangemi, Joseph	Inamorata / | $c: Joseph Gangemi.	Novel|Historical fiction|Romantic suspense fiction		 
uc1.$b283074	war stories	1930.0	Tuohy, Ferdinand	The battle of brains, | $c: by Ferdinand Tuohy.		Secret service|Spies|World War, 1914-1918	 
uc1.$b395275	random	1974.0	Moikobu, Josephine Moraa	The intellectual graveyard / | $c: by Josephine Moraa Moikobu.		Universities and colleges|Graduate work	 
mdp.39015058225163	love stories	2004.0	Dalton, John	Heaven Lake : | a novel / | $c: John Dalton.	Novel|Love stories|Christian fiction|Bildungsromans	Christian educators|Taiwan|Young men|Volunteers|Americans|China	 
mdp.39015058712426	humor	2002.0	Girardi, Robert	The wrong Doyle / | $c: Robert Girardi.	Novel|Humorous fiction	Pirates|Inheritance and succession|Irish American families|Bars (Drinking establishments)|Treasure troves|Miniature golf|Divorced men	 
uc1.$b281896	fairy tales	1877.0	Caballero, Fernán	Spanish fairy tales, | $c: by Fernan Caballero [pseud.]		Fairy tales	 
uc1.$b317735	mystery and detective fiction	1873.0	Gaboriau, Emile	The Lerouge case.		Detective and mystery stories	 
uc1.$b317737	mystery and detective fiction	1873.0	Gaboriau, Emile	The gilded clique.		Detective and mystery stories	 
uc1.$b300621	war stories	1930.0	Harrison, Charles Yale	Generals die in bed / | $c: Charles Yale Harrison.		World War, 1914-1918	 
uc1.$b300932	war stories	1930.0	Horvath, Ferdinand Huszti	Captured! | $c: by Ferdinand Hustzi Horvath.		World War, 1914-1918	 
uc1.b4381880	science fiction	1974.0	Gunn, James E	Some dreams are nightmares | $c: [by] James Gunn. Illustrated by Leonard Everett Fisher.		Science fiction, American	 
uc1.b4384844	science fiction	1966.0	Keller, David Henry	Life everlasting and other tales of science, fantasy, and horror. | $c: Edited and with a critical and biographical introd. by Sam Moskowitz.		Horror tales, American|Science fiction, American|Fantasy fiction, American	 
uc1.b4386214	science fiction|love stories	1974.0	Cummings, Ray	The girl in the golden atom. | $c: With a new introd. by Thyrill L. Ladd.	Novel|Love stories|Science fiction	Atoms|Chemists	 
uc1.$b301821	mystery and detective fiction	1930.0	Mavity, Nancy Barr	The case of the missing sandals : | a Peter Piper detective story / | $c: Nancy Barr Mavity.	San Francisco Bay Area|Mystery and detective fiction|California	Piper, Peter (Fictitious character)	 
uc1.$b312362	war stories	1930.0	Redman, Ben Ray	Down in flames | $c: [by] Ben Ray Redman.		World War, 1914-1918	 
pst.000068150914	random	1958.0	Vance, Jack	The languages of Pao / | $c: Jack Vance.		Fiction in English|Fiction in English, 1900- Texts	 
mdp.39076005244475	folklore	1933.0	Bunzel, Ruth Leah	Zuni texts, | $c: by Ruth L. Bunzel. New York, G. E. Stechert, agents, 1933.		Texts|Zuni Indians|Folklore|Zuni language	 
mdp.39076005244947	folklore	1932.0	Deloria, Ella Cara	Dakota texts, | $c: by Ella Deloria. New York, G. E. Stechert, agents, 1932.	Bibliographies	Folklore|Dakota language|Dakota literature|Teton Indians|Texts|Translations into English	 
uc1.$b313758	war stories	1930.0	Olden, Balder	On virgin soil, | a novel of exotic Africa, | $c: by Balder Olden, translated from the German by Lorna Dietz.		World War, 1914-1918	 
mdp.39076006154913	science fiction	1974.0	Whaley, Stephen V	Man unwept: visions from the inner eye; | an anthology of science and fantasy fiction | $c: [by] Stephen V. Whaley [and] Stanley J. Cook.	Bibliographies	Science fiction|Fantasy fiction	 
mdp.39015061769447	psychological fiction	2004.0	White, Jaclyn Weldon	Distant hearts : | a novel / | $c: Jaclyn Weldon White.	Novel|Psychological fiction|Bildungsromans	Loss (Psychology)|Diaries|Women graduate students|Death|Grief|Mothers|History students|Authorship|Dissertations, Academic	 
mdp.39076002195423	historical fiction	1897.0	Tomlinson, Everett T. (Everett Titsworth)	Washington's young aids / | a story of the New Jersey campaign, 1776-1777 / | $c: by Everett T. Tomlinson ; illustrated by Charles Copeland.	Juvenile audience	Revolution, 1775-1783|History|Juvenile fiction	 
uc1.$b56461	legends	1930.0	Darling, Esther Birdsall	Navarre of the North, | $c: by Esther Birdsall Darling, illustrated by Charles Livingston Bull ...		Legends and stories|Dogs	 
uc1.$b56506	tales|folklore	1930.0	Driberg, Jack Herbert	People of the small arrow / | $c: by J. H. Driberg ; with drawings by Pearl Binder.		Folklore|Ethiopia|Tales	 
coo.31924074619218	historical fiction	1894.0	Stevenson, Robert Louis	Catriona : |  the further adventures of David Balfour / | $c: by Robert Louis Stevenson.		History|18th century	 
uc1.$b74558	war stories	1930.0	Bloem, Walter	The advance from Mons, 1914, | $c: by Walter Bloem; translated from the German by G. C. Wynne; with a foreword by Brig.-General Sir James E. Edmonds.		Western front|Campaigns|Western Front|World War, 1914-1918	 
dul1.ark+=13960=t2h713c5c	science fiction	1897.0	Griffith, George Chetwynd	Olga Romanoff		Utopias|Robinson, Ernest|Provenance	 
uc1.32106014483108	science fiction	1961.0	Leiber, Fritz	The big time / | $c: Fritz Leiber		Science fiction, American	 
mdp.39015058785067	love stories	2004.0	Stevens, Marcus	Useful girl : | a novel / | $c: by Marcus Stevens.	Novel|Love stories|Bildungsromans	Conservation and restoration|Teenage girls|Cemeteries|Death|Antiquities|Teenage pregnancy|Runaway teenagers|Mothers|Cheyenne Indians	 
uc1.b3687359	science fiction	1930.0	Bradford, Columbus	Terrania, or, The feminization of the world / | $c: by Columbus Bradford		Utopias|Feminism	 
uc1.b3888663	folklore	1930.0	Annixter, Paul, pseud	Wilderness ways. | $c: Illustrations by Charles Livingston Bull.		Anecdotes|Animals|Folklore|Fishes	 
mdp.39015002718552	historical fiction	1898.0	Roberts, Charles George Douglas, Sir	A sister to Evangeline; | being the story of Yvonne de Lamourie, and how she went into exile with the villagers of Grand Pré, | $c: by Charles G. D. Roberts ...	Novel	History|1713-1763|History	 
yale.39002018496662	historical fiction|autobiography	1898.0	Cossio y Cisneros, Evangelina	The story of Evangelina Cisneros told by herself : | her rescue by Karl Decker / | $c: introduction by Julian Hawthorne, illustrations by Frederic Remington, Thomas Fleming and others.	Autobiography	Cossio y Cisneros, Evangelina|History|1879-1970|Revolution, 1895-1898	 
inu.39000005763482	tales|fairy tales	1930.0	Mutt, Eugenie	Fairy tales from Baltic shores; | folk-lore stories from Estonia, | $c: adapted and translated by Eugenie Mutt; illustrated by Jeannette Berkowitz.		Estonia|Fairy tales|Tales	 
mdp.39015029836585	historical fiction	1974.0	Maughan, A. M	Young Pitt; | a novel, | $c: by A. M. Maughan.	Bibliographies	Pitt, William|1759-1806|History|George III, 1760-1820	 
mdp.39015030933066	science fiction	1975.0	Zebrowski, George	Tomorrow today.		Science fiction, American	 
mdp.39015048440260	legends|folklore	1898.0	Ollivant, Alfred	Bob, son of battle / | $c: by Alfred Ollivant.	Juvenile literature|Juvenile audience	Legends and stories|English fiction|Anecdotes|England|Dogs|Folklore|Juvenile fiction|Biography|Shepherds	 
uc1.32106007706226	science fiction	1974.0	Sargent, Pamela	Women of wonder: science fiction stories by women about women. | $c: Edited, with an introd. and notes by Pamela Sargent.	Bibliographies	Women|Women authors|Science fiction, American	 
pst.000005341788	war stories	1930.0	Bartlett, Vernon	The unknown soldier / | $c: by Vernon Bartlett ...		World War, 1914-1918	 
mdp.39015002824509	short stories	1975.0		Superfiction : | or, The American story transformed : an anthology / | $c: edited by Joe David Bellamy.	Bibliographies	Short stories, American	 
mdp.39015058791479	random	2004.0	Williams, Greg	Boomtown : | a novel / | $c: Greg Williams.	Novel|Satire	Young adults|Electronic commerce|Internet|Businessmen	 
mdp.39015059901390	short stories	1898.0		Stories by American authors ...		Short stories, American	 
mdp.39015059901374	short stories	1898.0		Stories by American authors ...		Short stories, American	 
mdp.39015059901366	short stories	1898.0		Stories by American authors ...		Short stories, American	 
pst.000015582225	random	1930.0	Queen, Ellery	The Ellery Queen omnibus.			 
mdp.39015059901598	short stories	1898.0		Stories by American authors ...		Short stories, American	 
uc1.32106017391167	mystery and detective fiction	2003.0	Dunne, John Gregory	Nothing lost : | a novel / | $c: John Gregory Dunne	Mystery fiction	African American men|Crimes against	 
mdp.39015063536349	short stories	1898.0	Thanet, Octave	A slave to duty : | & other women / | $c: by Octave Thanet.	Publishers' cloth bindings (Binding)|Short stories|Chicago|Illinois		 
njp.32101071956799	historical fiction	1898.0	fróði, Ari Þorgilsson	The book of the settlement of Iceland. | $c: Tr. from the original Icelandic of Ari the Learned, by Rev. T. Ellwood ...		History	 
nyp.33433067388003	random	1883.0	Conscience, Hendrik	Summer evening tales. | $c: Tr. from the German.		Flemish fiction	 
mdp.39015061751619	random	2004.0	Wilson, A. N	My name is Legion / | $c: A.N. Wilson.		Social life and customs	 
uc1.b4102409	historical fiction|war stories	1898.0	King, Charles	The general's double; | a story of the Army of the Potomac, | $c: by Captain Charles King ... illustrated by J. Steeple Davis.		Army of the Potomac|United States|Civil War, 1861-1865|History	 
uc1.$b802588	short stories	1930.0		My best story; | an anthology of stories chosen by their own authors.		Short stories	 
nyp.33433074895602	random	1941.0	Marchant, Bessie	The secret of the Everglades.		English fiction	 
mdp.39015063973542	historical fiction	1898.0	Weyman, Stanley John	Shrewsbury; | a romance, | $c: by Stanley J. Weyman ...		History|William and Mary, 1689-1702	 
uc1.$b744342	war stories	1930.0	Baron, Phillimore, Godfrey Walter Phillimore	Recollections of a prisoner of war, | $c: by Lord Phillimore.		Prisoners and prisons, German|World War, 1914-1918	 
mdp.39015061147271	short stories	2004.0		More stories we tell : | the best contemporary short stories by North American women / | $c: edited by Wendy Martin.	Short stories	United States|Women|Women authors|Canadian fiction|Social life and customs|American fiction|Canada|Short stories, Canadian	 
mdp.39015061148360	psychological fiction	2004.0	Cody, Paul	Shooting the heart / | $c: Paul Cody.	Suspense fiction|Novel|Psychological fiction	Psychiatric hospital patients|Married people|Missing persons|Amnesia	 
mdp.39015015387866	science fiction	1936.0	Hamilton, Edmond	The horror on the asteroid : | and other tales of planetary horror / | $c: Edmond Hamilton ; with a new introd. by Gerry de la Ree.		Science fiction, American	 
mdp.39015029915389	western stories	1975.0		The Western story--fact, fiction, and myth / | $c: edited by Philip Durham and Everett L. Jones.	Bibliographies	Western stories|History and criticism	 
uc2.ark+=13960=t7qn5zt4z	historical fiction	1898.0	Johnston, Mary	Prisoners of hope;		History|Virginia|Colonial period, ca. 1600-1775	 
mdp.39015061322536	psychological fiction	2004.0	Senna, Danzy	Symptomatic : | a novel / | $c: Danzy Senna.	Suspense fiction|Novel|Psychological fiction	Identity (Psychology)	 
uc1.b3484049	random	1876.0	Douglas, Gertrude, Lady	Linked lives / | $c: Gertrude Douglas.			 
pst.000024875363	random	1930.0	Matson, Norman Häghejm	The log of the Coriolanus / | $c: by Norman Matson.		Voyages and travels	 
mdp.39076005052803	random	1930.0	Williamson, Henry	Dandelion days. | $c: by Henry Williamson..			 
mdp.39076005079871	random	1930.0	Foote, John Taintor	Pocono shot; | a dog story.		Dogs	 
mdp.39076002575145	mystery and detective fiction|science fiction	1930.0	Rohmer, Sax	The day the world ended / | $c: Sax Rohmer.		Juvenile fiction|Science fiction|Paranormal fiction|Detective and mystery stories	 
mdp.39015008609326	short stories	1975.0	Rotter, Pat	Bitches & sad ladies : | an anthology of fiction by and about women / | $c: edited by Pat Rotter.	Bibliographies	Women|Women authors|English literature|Short stories, English|Short stories, American|American literature	 
mdp.39076002619505	historical fiction|adventure stories	1930.0	Hewes, Agnes Danforth	Spice and the devil's cave / | $c: by Agnes Danforth Hewes ; decorated by Lynd Ward.	Juvenile audience	Adventure stories|Discovery and exploration|Magalhães, Fernão de|1469-1524|History|Gama, Vasco da|Period of discoveries, 1385-1580|Juvenile fiction|d. 1521	 
pst.000006659172	random	1928.0	Byrne, Donn	An untitled story.			 
mdp.39015064423752	folklore	1898.0	Curtin, Jeremiah	Creation myths of primitive America in relation to the religious history and mental development of mankind.	Bibliographies	Mythology|Indians of North America|Religion and mythology|North America|Indians|Folklore|Indian mythology|Creation|Cosmogony|Religion	 
mdp.39076005084996	love stories	1930.0	Dahlberg, Mary	Dagger / | $c: by Mary Dahlberg.		Airplanes|Women|Conduct of life|Man-woman relationships	 
uc1.$b787390	historical fiction	1930.0	O'Donnell, Peadar	The Knife, | $c: by Peadar O'Donnell.		Easter Rising, 1916|History	 
mdp.39015002191446	science fiction	1975.0	Brunner, John	The shockwave rider / | $c: John Brunner.	Science fiction		 
uc1.l0060630589	short stories	1921.0		English short stories, | selected to show the development of the short story from the fifteenth to the twentieth century.		Short stories, English	 
mdp.39015003625624	random|psychological fiction	1930.0	Gide, André	The immoralist / | $c: Tr. from the French by Dorothy Bussey.	Novel	France|Men|Psychology|Honeymoons|Tunisia|Homosexuality|Spouses	 
mdp.39015050970832	historical fiction	1936.0	Voronskiĭ, Aleksandr Konstantinovich	Waters of life and death / | $c: by A. Voronsky ; English translation & foreword by L. Zarine.		Voronskiĭ, Aleksandr Konstantinovich|Revolution, 1905-1907|History|1884-1937	 
nyp.33433074389531	historical fiction	1898.0	Jókai, Mór	The nameless castle : | a novel / | $c: by Maurus Jókai ; translated from the Hungarian under the author's supervision by S. E. Boggs.		History|1699-1848|History	 
mdp.39015078571489	imaginary voyages	1898.0	Rogers, Thomas H	Nehalem, | a story of the Pacific, A.D. 1700, | $c: by Thomas H. Rogers.		Voyages, Imaginary	 
osu.32435008954190	historical fiction	1930.0	Collins, Francis A. (Francis Arnold)	The romance of Park avenue, | $c: by F. A. Collins; under the auspices of the Park avenue association.		Streets|History|New York (N.Y.)|Park Avenue	 
mdp.39015059124340	domestic fiction	2004.0	McPhee, Jenny	No ordinary matter : | a novel / | $c: Jenny McPhee.	Novel|Domestic fiction	Women|New York|New York (State)|Sisters	 
mdp.39015059130313	mystery and detective fiction	2004.0	Smith, Ian	The blackbird papers / | $c: Ian Smith.	Novel|Mystery fiction	African American college teachers|Government investigators|African American men|Nobel Prizes|Brothers	 
osu.32435066780271	mystery and detective fiction	1930.0	Diplomat	Murder in the State department / | $c: by Diplomat.	Mystery fiction	United States|Murder|Department of State	 
mdp.39015049200234	random	1975.0	Sukenick, Ronald	98.6 : | a novel / | $c: by Ronald Sukenick.			 
mdp.39015059164726	domestic fiction	2004.0	Mazza, Cris	Homeland : | a novel / | $c: by Cris Mazza.	Novel|Domestic fiction	Migrant labor|Fathers and daughters	 
njp.32101072889726	legends	1898.0	Perlesvaus	The high history of the Holy Graal, | $c: translated from the French by Sebastian Evans.		Arthurian romances|Romances|Legends|Grail|Edition Perceval	 
mdp.39015063512324	historical fiction|war stories	1931.0	Doneghy, Dagmar	The Border; | a Missouri saga | $c: [by] Dagmar Doneghy.		Civil War, 1861-1865|History	 
mdp.39015008384243	science fiction	1975.0	Asimov, Isaac	Buy Jupiter, and other stories / | $c: Isaac Asimov.		Science fiction, American	 
mdp.39015039600534	folklore	1898.0	Seton, Ernest Thompson	Wild animals I have known and 200 drawings, : | zbeing the personal histories of Lobo, Silverspot, Raggylug, Bingo, the Springfield fox, the Pacing mustang, Wully snd Redruff.	Juvenile audience	Folklore|Anecdotes|Animals, Legends and stories of|Animals	 
mdp.39015059157530	psychological fiction	2004.0	Rayner, Jay	Eating crow : | a novel / | $c: Jay Rayner.	Novel|Psychological fiction	Restaurants|Food writers|Remorse	 
mdp.49015002392059	random	1870.0	Dickens, Charles	The works of Charles Dickens ... | $c: with introductions, general essay, and notes by Andrew Lang.			 
mdp.39015059157241	mystery and detective fiction	2004.0	Reid, Elwood	D.B. : | a novel / | $c: Elwood Reid.	Novel|Suspense fiction	Fugitives from justice|Mexico|Hijacking of aircraft|Americans|Cooper, D. B|Retirees|Detective and mystery stories	 
mdp.39015008482666	short stories	1975.0	Foley, Martha	200 years of great American short stories / | $c: edited by Martha Foley.		Short stories, American	 
mdp.39015010421900	historical fiction	1975.0	Scott, Paul	A division of the spoils : | a novel / | $c: by Paul Scott.		20th century|History	 
wu.89098864531	short stories	1898.0		New stories from the Chap-book : | being a miscellany of curious and interesting tales, histories, &c; / | $c: newly composed by many celebrated writers and very delightful to read.		Chapbooks|Short stories, American	 
mdp.39015060112227	western stories|historical fiction	2004.0	Chappell, Henry	Blood kin / | $c: Henry Chappell.	Western stories|Novel|Bildungsromans|Historical fiction	Revolution, 1835-1836|Young men|Texas Rangers|Republic, 1836-1846|History	 
nyp.33433082514229	short stories	1898.0		Stories by foreign authors.		Translations from foreign languages|Short stories|Short stories, English|Translations into English	 
mdp.39015060101634	love stories	2004.0	Brown, Tracy	Dime piece / | $c: by Tracy Brown.		Love stories|Beauty shops|African American women	 
uc1.b3139703	short stories	1898.0		Stories by foreign authors.		Translations from foreign languages|Short stories|Short stories, English|Translations into English	 
uc1.b3139704	short stories	1898.0		Stories by foreign authors.		Translations from foreign languages|Short stories|Short stories, English|Translations into English	 
uc1.b3139707	short stories|random	1898.0		Stories by foreign authors.		Translations from foreign languages|Short stories|Short stories, English|Translations into English	 
uc1.b3139708	short stories	1898.0		Stories by foreign authors.		Translations from foreign languages|Short stories|Short stories, English|Translations into English	 
mdp.39015063950201	war stories	1931.0	Raymond, Ernest	The jesting army, | $c: by Ernest Raymond.		World War, 1914-1918	 
mdp.39015060098467	historical fiction	2004.0	Phillips, Arthur	The Egyptologists : | a novel / | $c: Arthur Phillips	Historical fiction	Antiquities|Collection and preservation|Americans|Egyptologists|Archaeologists|Egypt	 
mdp.39015061160613	short stories	2004.0		Comics prose : | short stories by comics writers / | $c: edited by Nat Gertler.	Short stories	Short stories, American|Heroes	 
mdp.39015005291557	random	1975.0	Bradley, David	South Street.			 
mdp.39015005744274	domestic fiction	1975.0	Hobson, Laura Keane Zametkin	Consenting adult / | $c: Laura Z. Hobson.		Domestic fiction|Coming out (Sexual orientation)|Gay teenagers	 
uc1.$b308301	historical fiction	1898.0	Otis, James	Corporal 'Lige's recruit		Revolution, 1775-1783|United States|History	 
mdp.39015059163967	short stories	2004.0	Miner, Valerie	Abundant light : | short fiction / | $c: by Valerie Miner.	Short stories	Social life and customs	 
uc1.$b323451	historical fiction	1898.0	Sienkiewicz, Henryk	Pan Michael		Poland|History|Michael Wisniowiecki, 1669-1673	 
uc1.b3550216	historical fiction	1898.0	Major, Charles	When knighthood was in flower; | or, The love story of Charles Brandon and Mary Tudor, the king's sister, and happening in the reign of ... Henry VIII; | $c: rewritten and rendered into modern English from Sir Edwin Caskoden's memoir, by Edwin Caskoden [pseud.]		Henry VIII, 1509-1547|History|Great Britain|History	 
mdp.39015056732632	historical fiction|domestic fiction	1931.0	Buck, Pearl S. (Pearl Sydenstricker)	The good earth.	Domestic fiction|Historical fiction	Married women|Farm life|Farmers' spouses|Social life and customs|1928-1937|History|China	 
mdp.39015041827281	historical fiction	1931.0	Butenschön, Andrea	The life of a Mogul princess, | Jahānarā begam, daughter of Shāhjhān. | $c: With an introduction by Laurence Binyon.		Jahanara, Begum|Mogul Empire|1614-1680|History	 
mdp.39015000626393	random	1975.0	Koning, Hans	The Petersburg-Cannes Express / | $c: by Hans Koning.			 
wu.89098024128	random	1898.0	Everett, Edith Townsend	A duel with destiny and other stories / | $c: by Edith Townsend Everett.			 
mdp.39015060067264	random|love stories	2004.0	Minister Faust	The Coyote Kings of the space-age bachelor pad / | $c: Minister Faust.		Bachelors|Blacks|Antiquities|Male friendship|Canada|Man-woman relationships	 
pst.000027616567	random	1898.0		The International library of famous literature : | selections from the world's great writers ... with biographical and explanatory notes / | $c: and with introductions by Donald G. Mitchell (Ik Marvel) and Andrew Lang. Comp. and arranged by Nathan Haskell Dole, Forrest Morgan and Caroline Ticknor, with over five hundred full-page illustrations.		Literature|Collections	 
mdp.39015035856775	tales	1975.0	Thurlow, Clifford	Stories from beyond the clouds : | an anthology of Tibetan folk tales / | $c: by Clifford Thurlow.		Tibet Autonomous Region|Tales|China	 
mdp.39015060064485	humor	2004.0	Acito, Marc	How I paid for college : | a novel of sex, theft, friendship & musical theater / | $c: Marc Acito.	Humorous fiction|Novel|Bildungsromans	Study and teaching|Acting|Amateur theater|Teenage boys|High school students|College and school drama|Fund raising|Tuition|Friendship	 
mdp.39015066698542	war stories	1931.0	Plivier, Theodor	The kaiser's coolies; | $c: translated from the German by Margaret Green.		World War, 1914-1918	 
uc1.b3039199	random	1878.0	Whyte-Melville, G. J. (George John)	The works of G.J. Whyte-Melville / | $c: edited by Sir Herbert Maxwell.			 
uc1.$b605072	historical fiction	1931.0	Tarasov-Rodionov, A. (Aleksandr)	February, 1917.		History|February Revolution, 1917	 
mdp.39015010905522	historical fiction	1931.0	Krasnov, P. N. (Petr Nikolaevich)	Napoleon and the Cossacks, | $c: by Peter Nicolaevitch Krassnoff; translated from the Russian by Olga Vitali.		Campaigns|Alexander I, 1801-1825|Napoleon|1769-1821|Napoleonic Wars, 1800-1815|Emperor of the French|History|Russia	 
uc1.b5023357	science fiction	1931.0	Wells, H. G. (Herbert George)	What are we to do with our lives? | $c: [By] H. G. Wells.		Utopias|Sociology|Social problems	 
uc1.b3727086	historical fiction|war stories	1931.0	Stribling, T. S. (Thomas Sigismund)	The forge	Bibliographies	History|Civil War, 1861-1865	 
uc2.ark+=13960=t6qz26x3d	historical fiction	1898.0	Benson, E. F. (Edward Frederick)	The vintage;		War of Independence, 1821-1829|History|Greece	 
uc2.ark+=13960=t0rr1pp38	historical fiction	1898.0	Mitchell, S. Weir (Silas Weir)	The adventures of Fran?_ois		France|Revolution, 1789-1799|Revolution|History	 
uc2.ark+=13960=t6f18t71d	historical fiction	1898.0	Prichard, Sarah J	The only woman in the town		Revolution, 1775-1783|United States|History	 
uva.x030809076	historical fiction	1873.0	Mühlbach, L. (Luise)	Mohammed Ali and his house / | $c: translated from the German by Chapman Coleman.		Muḥammad ʻAlī Bāshā|Mohammed 'Alī, 1805-1849|1769-1849|Mohammed Ali, 1805-1849|Muḥammad ʻAlī Bāshā|History|Governor of Egypt|History	 
njp.32101068570843	historical fiction	1873.0	Mühlbach, L. (Luise)	Mohammed Ali and his house / | $c: translated from the German by Chapman Coleman.		Muḥammad ʻAlī Bāshā|Mohammed 'Alī, 1805-1849|1769-1849|Mohammed Ali, 1805-1849|Muḥammad ʻAlī Bāshā|History|Governor of Egypt|History	 
mdp.39015000544943	historical fiction	1975.0	Peters, Arthur	Abram Force: | a novel of the American revolution / | $c: by Arthur Peters.		Revolution, 1775-1783|History|Juvenile fiction	 
mdp.39015014683893	short stories	1975.0		Women and fiction : | short stories by and about women. / | $c: Edited by Susan Cahill.		Short stories	 
njp.32101066120575	historical fiction	1898.0	Brady, Cyrus Townsend	For love of country. | A story of land and sea in the days of the revolution ... | $c: By Cyrus Townsend Brady ...		Revolution, 1775-1783|American fiction|History	 
uc1.$b116287	short stories|war stories	1931.0		Best short stories of the war;		Short stories|World War, 1914-1918	 
mdp.39015014550514	war stories	1956.0	King, Alison	Golden wings : | the story of some of the women ferry pilots of the Air Transport Auxiliary / | $c: by Alison King.		Great Britain|Aerial operations, British|Participation, Female|Air Transport Auxiliary|World War, 1939-1945	 
mdp.39015005709558	random	1931.0	Thomas, Helen	World without end, | $c: by Helen Thomas.			 
mdp.39015060404624	random	2004.0	Flagg, Fannie	A redbird Christmas : | a novel.			 
